X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
0,2.56E-01,5.48E+00,-5.99E+00,1.00E-02,,6.00E+00
1,3.20E-02,5.28E+00,,,,
2,3.44E-01,5.52E+00,,,,
3,-2.40E-02,5.24E+00,,,,
4,3.04E-01,5.48E+00,,,,
5,-8.00E-03,5.28E+00,,,,
6,0.00E+00,5.28E+00,,,,
7,2.88E-01,5.52E+00,,,,
8,-4.80E-02,5.48E+00,,,,
9,3.12E-01,5.24E+00,,,,
10,0.00E+00,5.28E+00,,,,
11,3.20E-01,5.52E+00,,,,
12,-2.40E-02,5.52E+00,,,,
13,2.88E-01,5.24E+00,,,,
14,-8.00E-03,5.48E+00,,,,
15,3.20E-01,5.24E+00,,,,
16,-1.60E-02,5.48E+00,,,,
17,2.80E-01,5.24E+00,,,,
18,3.04E-01,5.24E+00,,,,
19,0.00E+00,5.52E+00,,,,
20,0.00E+00,5.52E+00,,,,
21,3.04E-01,5.24E+00,,,,
22,2.88E-01,5.48E+00,,,,
23,1.60E-02,5.24E+00,,,,
24,2.64E-01,5.24E+00,,,,
25,-1.60E-02,5.52E+00,,,,
26,2.80E-01,5.52E+00,,,,
27,-1.60E-02,5.24E+00,,,,
28,2.88E-01,5.52E+00,,,,
29,8.00E-03,5.24E+00,,,,
30,3.04E-01,5.48E+00,,,,
31,-1.60E-02,5.24E+00,,,,
32,-3.20E-02,5.24E+00,,,,
33,2.72E-01,5.52E+00,,,,
34,0.00E+00,5.24E+00,,,,
35,3.20E-01,5.48E+00,,,,
36,-3.20E-02,5.48E+00,,,,
37,2.80E-01,5.24E+00,,,,
38,-3.20E-02,5.52E+00,,,,
39,3.12E-01,5.24E+00,,,,
40,-3.52E-01,6.20E+00,,,,
41,1.02E+00,4.68E+00,,,,
42,1.02E+00,6.64E+00,,,,
43,-1.02E+00,4.20E+00,,,,
44,-1.02E+00,6.36E+00,,,,
45,1.02E+00,4.28E+00,,,,
46,1.02E+00,6.40E+00,,,,
47,-9.76E-01,4.40E+00,,,,
48,1.02E+00,6.20E+00,,,,
49,-9.60E-01,4.16E+00,,,,
50,1.02E+00,6.16E+00,,,,
51,-7.04E-01,4.56E+00,,,,
52,1.02E+00,4.72E+00,,,,
53,-8.88E-01,6.28E+00,,,,
54,1.02E+00,6.20E+00,,,,
55,-9.36E-01,4.28E+00,,,,
56,-1.00E+00,6.20E+00,,,,
57,1.02E+00,4.24E+00,,,,
58,7.84E-01,6.00E+00,,,,
59,-9.36E-01,4.20E+00,,,,
60,1.01E+00,6.08E+00,,,,
