X,CH1,CH2,CH3,,
Sequence,Volt,Volt,Volt,Start,Increment
0,-8.00E-02,5.20E+00,-2.00E-01,-3.00E+00,5.00E-03
1,3.20E-01,5.60E+00,-1.00E-01,,
2,1.60E-01,5.20E+00,-2.00E-01,,
3,-8.00E-02,5.60E+00,0.00E+00,,
4,1.60E-01,5.20E+00,-2.00E-01,,
5,-1.60E-01,5.40E+00,-1.00E-01,,
6,-8.00E-02,5.20E+00,-2.00E-01,,
7,2.40E-01,5.40E+00,0.00E+00,,
8,1.60E-01,5.20E+00,-2.00E-01,,
9,-8.00E-02,5.60E+00,0.00E+00,,
10,-8.00E-02,5.20E+00,-2.00E-01,,
11,2.40E-01,5.80E+00,0.00E+00,,
12,-8.00E-02,5.20E+00,-2.00E-01,,
13,3.20E-01,5.80E+00,0.00E+00,,
14,-8.00E-02,5.20E+00,-2.00E-01,,
15,2.40E-01,5.60E+00,-1.00E-01,,
16,1.60E-01,5.20E+00,0.00E+00,,
17,0.00E+00,5.60E+00,-2.00E-01,,
18,-8.00E-02,5.20E+00,-2.00E-01,,
19,2.40E-01,5.60E+00,0.00E+00,,
20,-8.00E-02,5.20E+00,-2.00E-01,,
21,2.40E-01,5.40E+00,0.00E+00,,
22,3.20E-01,5.20E+00,-2.00E-01,,
23,-1.60E-01,5.60E+00,0.00E+00,,
24,-8.00E-02,5.20E+00,-1.00E-01,,
25,2.40E-01,5.40E+00,-2.00E-01,,
26,1.60E-01,5.20E+00,0.00E+00,,
27,-8.00E-02,5.80E+00,-2.00E-01,,
28,-8.00E-02,5.20E+00,-2.00E-01,,
29,1.60E-01,5.60E+00,0.00E+00,,
30,1.60E-01,5.60E+00,-2.00E-01,,
31,-8.00E-02,5.20E+00,0.00E+00,,
32,2.40E-01,5.20E+00,-2.00E-01,,
33,-8.00E-02,5.80E+00,0.00E+00,,
34,1.60E-01,5.20E+00,-2.00E-01,,
35,-8.00E-02,5.60E+00,-1.00E-01,,
36,1.60E-01,5.20E+00,0.00E+00,,
37,-8.00E-02,5.60E+00,-2.00E-01,,
38,-8.00E-02,5.20E+00,-2.00E-01,,
39,2.40E-01,5.60E+00,0.00E+00,,
40,-8.00E-02,5.20E+00,-2.00E-01,,
41,2.40E-01,5.60E+00,0.00E+00,,
42,1.60E-01,5.20E+00,-2.00E-01,,
43,-8.00E-02,5.60E+00,0.00E+00,,
44,-8.00E-02,5.20E+00,-2.00E-01,,
45,3.20E-01,5.60E+00,-1.00E-01,,
46,2.40E-01,5.20E+00,-2.00E-01,,
47,-8.00E-02,5.60E+00,0.00E+00,,
48,1.60E-01,5.20E+00,-2.00E-01,,
49,-8.00E-02,5.40E+00,0.00E+00,,
50,1.60E-01,5.20E+00,0.00E+00,,
51,-8.00E-02,5.60E+00,-2.00E-01,,
52,1.60E-01,5.20E+00,-2.00E-01,,
53,-8.00E-02,5.80E+00,0.00E+00,,
54,-8.00E-02,5.20E+00,-2.00E-01,,
55,2.40E-01,5.40E+00,-1.00E-01,,
56,-8.00E-02,5.20E+00,0.00E+00,,
57,3.20E-01,6.00E+00,-2.00E-01,,
58,-8.00E-02,5.20E+00,-2.00E-01,,
59,3.20E-01,5.60E+00,0.00E+00,,
60,-8.00E-02,5.20E+00,0.00E+00,,
61,2.40E-01,5.40E+00,-2.00E-01,,
62,1.60E-01,5.20E+00,-2.00E-01,,
63,-8.00E-02,5.60E+00,0.00E+00,,
64,-8.00E-02,5.20E+00,-2.00E-01,,
65,2.40E-01,5.60E+00,-1.00E-01,,
66,-8.00E-02,5.20E+00,0.00E+00,,
67,3.20E-01,5.60E+00,-2.00E-01,,
68,-8.00E-02,5.20E+00,-2.00E-01,,
69,1.60E-01,5.60E+00,0.00E+00,,
70,-8.00E-02,5.60E+00,-2.00E-01,,
71,3.20E-01,5.20E+00,0.00E+00,,
72,-8.00E-02,5.20E+00,-2.00E-01,,
73,2.40E-01,5.80E+00,0.00E+00,,
74,-8.00E-02,5.20E+00,-2.00E-01,,
75,2.40E-01,5.60E+00,-1.00E-01,,
76,-8.00E-02,5.20E+00,0.00E+00,,
77,1.60E-01,5.60E+00,-2.00E-01,,
78,-8.00E-02,5.20E+00,-2.00E-01,,
79,2.40E-01,5.60E+00,0.00E+00,,
80,-8.00E-02,5.20E+00,-2.00E-01,,
81,2.40E-01,5.60E+00,0.00E+00,,
82,-8.00E-02,5.20E+00,-2.00E-01,,
83,2.40E-01,5.60E+00,0.00E+00,,
84,-8.00E-02,5.20E+00,-2.00E-01,,
85,2.40E-01,5.80E+00,-1.00E-01,,
86,3.20E-01,5.20E+00,0.00E+00,,
87,-8.00E-02,5.60E+00,-2.00E-01,,
88,-8.00E-02,5.20E+00,-2.00E-01,,
89,2.40E-01,5.60E+00,0.00E+00,,
90,1.52E+00,6.80E+00,1.00E-01,,
91,-1.36E+00,4.00E+00,-3.00E-01,,
92,-1.20E+00,4.60E+00,-3.00E-01,,
93,1.52E+00,6.60E+00,0.00E+00,,
94,1.68E+00,6.60E+00,0.00E+00,,
95,-1.60E+00,3.80E+00,-3.00E-01,,
96,1.60E+00,4.00E+00,0.00E+00,,
97,-9.60E-01,6.40E+00,-3.00E-01,,
98,-1.04E+00,4.60E+00,-3.00E-01,,
99,1.44E+00,6.60E+00,0.00E+00,,
100,1.20E+00,6.20E+00,0.00E+00,,
101,-1.12E+00,4.60E+00,-3.00E-01,,
102,-8.80E-01,4.20E+00,-3.00E-01,,
103,1.20E+00,6.60E+00,0.00E+00,,
104,-1.44E+00,4.00E+00,-3.00E-01,,
105,1.04E+00,6.20E+00,0.00E+00,,
106,-7.20E-01,4.80E+00,0.00E+00,,
107,1.52E+00,6.20E+00,-3.00E-01,,
108,5.60E-01,6.40E+00,-3.00E-01,,
