X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
Sequence,Volt,Volt,-2.50E+00,5.00E-03,8.5,11.73
0,3.20E-01,5.60E+00,,,,
1,-1.60E-01,5.20E+00,,,,
2,3.20E-01,5.20E+00,,,,
3,-8.00E-02,5.60E+00,,,,
4,-8.00E-02,5.60E+00,,,,
5,3.20E-01,5.00E+00,,,,
6,-8.00E-02,5.60E+00,,,,
7,3.20E-01,5.00E+00,,,,
8,-8.00E-02,5.60E+00,,,,
9,3.20E-01,5.00E+00,,,,
10,-1.60E-01,5.60E+00,,,,
11,3.20E-01,5.00E+00,,,,
12,-8.00E-02,5.60E+00,,,,
13,2.40E-01,5.00E+00,,,,
14,-8.00E-02,5.00E+00,,,,
15,3.20E-01,5.60E+00,,,,
16,-8.00E-02,5.60E+00,,,,
17,2.40E-01,5.00E+00,,,,
18,2.40E-01,5.00E+00,,,,
19,-1.60E-01,5.60E+00,,,,
20,-8.00E-02,5.60E+00,,,,
21,3.20E-01,5.20E+00,,,,
22,-8.00E-02,5.20E+00,,,,
23,2.40E-01,5.60E+00,,,,
24,2.40E-01,5.20E+00,,,,
25,-8.00E-02,5.80E+00,,,,
26,-8.00E-02,5.60E+00,,,,
27,2.40E-01,5.20E+00,,,,
28,-8.00E-02,5.60E+00,,,,
29,3.20E-01,5.00E+00,,,,
30,2.40E-01,5.20E+00,,,,
31,-8.00E-02,5.60E+00,,,,
32,2.40E-01,5.60E+00,,,,
33,-8.00E-02,5.00E+00,,,,
34,-8.00E-02,5.60E+00,,,,
35,2.40E-01,5.00E+00,,,,
36,-8.00E-02,5.60E+00,,,,
37,3.20E-01,5.00E+00,,,,
38,2.40E-01,5.60E+00,,,,
39,-8.00E-02,5.00E+00,,,,
40,2.40E-01,5.80E+00,,,,
41,-1.60E-01,5.20E+00,,,,
42,2.40E-01,5.60E+00,,,,
43,-8.00E-02,5.20E+00,,,,
44,2.40E-01,5.60E+00,,,,
45,-8.00E-02,5.00E+00,,,,
46,2.40E-01,5.20E+00,,,,
47,-1.60E-01,5.60E+00,,,,
48,-8.00E-02,5.60E+00,,,,
49,2.40E-01,5.00E+00,,,,
50,2.40E-01,5.60E+00,,,,
51,-8.00E-02,5.00E+00,,,,
52,2.40E-01,5.60E+00,,,,
53,-8.00E-02,5.00E+00,,,,
54,3.20E-01,5.60E+00,,,,
55,-1.60E-01,5.20E+00,,,,
56,2.40E-01,5.60E+00,,,,
57,-8.00E-02,5.00E+00,,,,
58,2.40E-01,5.60E+00,,,,
59,-8.00E-02,5.20E+00,,,,
60,-8.00E-02,5.60E+00,,,,
61,2.40E-01,5.00E+00,,,,
62,-8.00E-02,5.60E+00,,,,
63,2.40E-01,5.00E+00,,,,
64,-8.00E-02,5.60E+00,,,,
65,3.20E-01,5.00E+00,,,,
66,-8.00E-02,5.00E+00,,,,
67,3.20E-01,5.80E+00,,,,
68,-8.00E-02,5.60E+00,,,,
69,3.20E-01,5.20E+00,,,,
70,-8.00E-02,5.20E+00,,,,
